dataset_a,dataset_b,model,dsi_10,auc_learning,slope_10,convergence_rate,stability,saturation_shot,auc_500,mean_pad_max
cadot,dior-bg_blurry,MLP,68.94540942928043,71.36167191094748,0.162651575448289,71.39487515326591,94.52377264008868,100,0.998376652696088,1.9313825896122896
cadot,dior-bg_blurry,Discriminator,50.46526054590572,64.25121363158775,0.0846260243503143,52.28490529302772,91.4500807424233,100,0.99817665954581,1.9303950256035116
coco,dior-bg_blurry,LogReg,90.4963988748416,75.67915951213318,0.3753872964094107,90.720983181303,95.25979788241955,25,0.9999859778673832,1.995048900517037
coco,dior-bg_blurry,MLP,53.28706995146983,63.970962578794996,0.20789970666730273,53.52656071477504,93.64732524904173,50,0.9999637444907148,1.9910515168504332
coco,dior-bg_blurry,Discriminator,41.71911223764337,56.980201271579965,0.14681935621533737,41.95846603613958,90.38567580936785,100,0.9999404200838292,1.9885909175854977
deepfruits,dior-bg_blurry,LogReg,95.03943661971832,78.53929197272444,0.31839773254914094,95.52954471870993,94.42020905551674,10,0.9999750472589792,1.989739130434783
deepfruits,dior-bg_blurry,MLP,70.2957746478873,70.45857489026217,0.15051733477789808,70.85025490365503,91.25706543409888,25,0.9992325141776938,1.9843478260869567
deepfruits,dior-bg_blurry,Discriminator,56.47887323943661,65.86407245289257,0.09983942114223787,57.14976174690022,90.97278982090342,50,0.9994102079395086,1.976521739130435
dior,dior-bg_blurry,LogReg,65.32924244114693,59.90964796822279,0.27848861077907383,74.78146821937196,95.20797221236433,250,0.9802631886745616,1.7472040599551515
dior,dior-bg_blurry,MLP,44.91520696195472,53.494076766386954,0.171889900168668,51.27823496128092,94.37526101975658,250,0.9815207034503932,1.7518234391596834
dior,dior-bg_blurry,Discriminator,40.38268436907286,49.10028329112428,0.18305196397643886,46.1353043429049,91.14457578432254,250,0.9813827248122134,1.750619615248436
dior_bg,dior-bg_blurry,LogReg,45.689406818954616,42.15257276631748,0.1848443235818773,74.7967478536905,94.73403111798754,250,0.880750899717245,1.2216950102784525
dior_bg,dior-bg_blurry,MLP,36.08690612345833,37.86566362431755,0.158335119388907,58.16909453304583,94.08512250587901,250,0.8869021088915373,1.240758736684732
dior_bg,dior-bg_blurry,Discriminator,26.24996136131803,35.960130971129395,0.09689591025113586,42.279218582926234,92.8841806211903,250,0.8876602637584851,1.2417429763907055
dota,dior-bg_blurry,LogReg,60.01634706067278,57.280098154086424,0.23429095765295538,69.69271953722193,95.61675239484532,250,0.9785694076103448,1.7223132476160266
dota,dior-bg_blurry,MLP,39.69478706289178,50.41755698166899,0.13099713910102118,46.135475807170245,94.53074159577454,250,0.9786328580060164,1.7207923563550864
dota,dior-bg_blurry,Discriminator,32.43726538084584,47.78341437999899,0.10391061784828115,37.7063938888382,92.56712700464809,250,0.97847444899335,1.720518036090843
fashionpedia,dior-bg_blurry,LogReg,97.25627603595699,79.18866685575314,0.39748517775218817,97.34559558210059,96.23002924931984,10,0.9999941877184064,1.998164898049891
fashionpedia,dior-bg_blurry,MLP,77.1631769348827,70.37481486160696,0.29278974553969006,77.28168209771931,94.20681618249846,25,0.9999872365255482,1.9969331629534977
fashionpedia,dior-bg_blurry,Discriminator,54.42392019294016,64.49655986933205,0.1899135292327776,54.51379723794464,92.49219057983429,50,0.9999870728692476,1.9967025945885888
oktoberfest,dior-bg_blurry,LogReg,97.8121212121212,80.1100710279821,0.40786756049705686,97.8907684962122,96.1360576035089,10,1.0,1.9983931623931623
oktoberfest,dior-bg_blurry,MLP,84.93333333333332,73.9909862448936,0.3526942446043164,85.17487402085516,94.23833941368488,25,0.999997772332368,1.9943283582089553
oktoberfest,dior-bg_blurry,Discriminator,76.63636363636368,70.73759150004825,0.32781611074776573,76.88883443600427,93.5355975192831,25,0.9999937625306304,1.9934328358208957
uodd,dior-bg_blurry,LogReg,94.90549019607843,81.57008700856409,0.3019326874008691,95.04713811550303,95.2162083766542,10,0.999998673296258,1.9970194174757283
uodd,dior-bg_blurry,MLP,78.79803921568626,75.57942200678582,0.19111798036916983,79.30815233141013,93.5266582402952,25,0.9999410288434348,1.987135922330097
uodd,dior-bg_blurry,Discriminator,64.98431372549021,69.64521147599963,0.15139675424683374,65.60855041879525,92.53571661708531,50,0.9998961848430576,1.980970873786408
xview,dior-bg_blurry,LogReg,69.98117004455946,66.31944374750634,0.27349421229176285,72.3668509982524,95.44485534285481,250,0.9985941061096306,1.93406702320789
xview,dior-bg_blurry,MLP,48.17066743328062,57.67645212251513,0.17345271456103917,50.21103744515837,94.32237866636656,250,0.9978790297350076,1.9187282272704969
xview,dior-bg_blurry,Discriminator,39.47894207273248,53.81172879209131,0.14756113756672762,41.188335814383855,93.04845384041478,250,0.9978165182337844,1.9169962219714445
