pair,source,dataset_a,dataset_b,wasserstein,mk_mmd,dsi_10_mean,dsi_10_std,auc_learning_mean,auc_learning_std,convergence_rate_mean,convergence_rate_std,stability_mean,stability_std,saturation_shot_mean,auc_500_mean,mean_pad_max_mean,interpretation
coco vs dota-bg_blurry,coco,coco,dota-bg_blurry,0.394006728332606,0.0500464181499103,62.35819915398785,25.87772914010555,68.08385958596489,8.000506628054447,62.572874202438335,25.877901210448133,93.65826716605808,1.5124937744441362,108.33333333333333,0.99996900550485,1.9923819719210496,Fort
coco vs dior-bg_blurry,coco,coco,dior-bg_blurry,0.4075232739281395,0.0471551203026803,61.834193687984936,25.487171597635626,65.54344112083605,9.448136133353126,62.068669977405875,25.478844019580865,93.09759964694304,2.483126089016526,58.333333333333336,0.9999633808139757,1.991563778317656,Fort
dior vs dota-bg_blurry,dior,dior,dota-bg_blurry,0.38148663352802,0.0474582735349664,59.75172003421471,13.922875813400102,60.7700261682337,5.469524914809127,64.15014670512143,14.639290394496841,93.78907078546092,1.6180492294355902,250.0,0.9943871379436109,1.8615161886777607,Fort
xview vs dota-bg_blurry,xview,xview,dota-bg_blurry,0.4004484068734317,0.0520907955835918,59.64828390270393,14.723010682446406,60.99185356584456,6.541122209774961,62.431589997694154,15.047575801970579,94.20967330130266,1.108949336555121,250.0,0.9978149293830937,1.9091735766972506,Fort
xview vs dior-bg_blurry,xview,xview,dior-bg_blurry,0.3785220361714131,0.0511985513850475,52.54359318352419,15.714271778360699,59.26920822070426,6.404169527949523,54.58874141926487,16.043633358169256,94.27189594987873,1.19899808954068,250.0,0.9980965513594743,1.923263824149944,Fort
dota vs dota-bg_blurry,dota,dota,dota-bg_blurry,0.3324238163381203,0.0484475256125055,50.9491650794238,14.595993897082268,53.866381218399646,4.767334687666069,62.43142777880221,18.182711653191244,94.11714897718042,0.9482085107426899,200.0,0.9590085635947286,1.633617855076791,Fort
dior vs dior-bg_blurry,dior,dior,dior-bg_blurry,0.3265597422233394,0.0413877483278112,50.20904459072484,13.289139458244758,54.16800267524467,5.436103685416472,57.39833584118593,15.272275609564936,93.57593633881447,2.1463894315869316,250.0,0.9810555389790561,1.7498823714544234,Fort
dota vs dior-bg_blurry,dota,dota,dior-bg_blurry,0.3286568809809013,0.0434184930010179,44.049466501470135,14.295938630786868,51.827023171918135,4.90272341483236,51.17819641107679,16.578692060530905,94.23820699842265,1.5457154081912314,250.0,0.9785589048699038,1.7212078800206523,Modéré
dior_bg vs dota-bg_blurry,dior_bg,dior_bg,dota-bg_blurry,0.3148271842742751,0.0533001543643573,36.660022894377676,11.45593521289304,42.33352788340263,3.898842650059832,49.49772281205626,15.513121618466275,93.88996292704674,1.459958910159539,416.6666666666667,0.941257099936025,1.4817466985730745,Modéré
dior_bg vs dior-bg_blurry,dior_bg,dior_bg,dior-bg_blurry,0.3051141622402032,0.0565539969983474,36.00875810124366,9.719958346625718,38.65945578725481,3.1716184110251233,58.41502032322086,16.260159503813536,93.90111141501895,0.938553022633717,250.0,0.8851044241224225,1.2347322411179633,Modéré
dior-bg_blurry vs dota-bg_blurry,dior-bg_blurry,dior-bg_blurry,dota-bg_blurry,0.2337687265177572,0.0263119702770685,18.667702183343113,4.744650022410731,27.008505524344184,2.1514481380782478,32.3661704869738,8.84227031158014,95.6657003005203,0.576006482297336,500.0,0.8679367900938928,1.1571407213604934,Faible
